code_com,code_id,P21_POP,SUPERF,MED21,density,median_income
01053,01053_0001,41525,23.86,20210,7.461847517811726,20210
01053,01053_0002,41525,23.86,20210,7.461847517811726,20210
01053,01053_0003,41525,23.86,20210,7.461847517811726,20210
01053,01053_0004,41525,23.86,20210,7.461847517811726,20210
01053,01053_0005,41525,23.86,20210,7.461847517811726,20210
01053,01053_0006,41525,23.86,20210,7.461847517811726,20210
01053,01053_0007,41525,23.86,20210,7.461847517811726,20210
01053,01053_0008,41525,23.86,20210,7.461847517811726,20210
01053,01053_0009,41525,23.86,20210,7.461847517811726,20210
01053,01053_0010,41525,23.86,20210,7.461847517811726,20210
01053,01053_0011,41525,23.86,20210,7.461847517811726,20210
01053,01053_0012,41525,23.86,20210,7.461847517811726,20210
01053,01053_0013,41525,23.86,20210,7.461847517811726,20210
01053,01053_0014,41525,23.86,20210,7.461847517811726,20210
01053,01053_0015,41525,23.86,20210,7.461847517811726,20210
01053,01053_0016,41525,23.86,20210,7.461847517811726,20210
01053,01053_0017,41525,23.86,20210,7.461847517811726,20210
01053,01053_0018,41525,23.86,20210,7.461847517811726,20210
01053,01053_0019,41525,23.86,20210,7.461847517811726,20210
01054,01054_0001,1517,8.98,27320,5.129490097034424,27320
01056,01056_0001,356,16.94,21640,3.045253041628122,21640
01057,01057_0001,510,7.31,24300,4.245167451956685,24300
01058,01058_0001,818,11,23420,4.308967063804377,23420
01060,01060_0001,518,23.79,24970,3.080709917944617,24970
01061,01061_0001,1129,6.9,25110,5.097566152546448,25110
01062,01062_0001,978,7.73,28710,4.840400807435486,28710
01063,01063_0001,576,4.48,25400,4.8564846142689975,25400
01064,01064_0001,1099,12.29,23440,4.493370030825678,23440
01065,01065_0001,1851,10.21,26810,5.200113680396924,26810
01065,01065_0002,1851,10.21,26810,5.200113680396924,26810
01066,01066_0001,95,10.82,s,2.172480618182205,NA
01067,01067_0001,261,10.01,25900,3.260935813995564,25900
01068,01068_0001,761,12.3,21410,4.125034095483314,21410
01069,01069_0001,1505,15.92,25570,4.548971996766739,25570
01071,01071_0001,5307,6.39,42540,6.722047714438451,42540
01071,01071_0002,5307,6.39,42540,6.722047714438451,42540
01071,01071_0003,5307,6.39,42540,6.722047714438451,42540
01072,01072_0001,3285,9.36,25320,5.860676640429211,25320
01072,01072_0002,3285,9.36,25320,5.860676640429211,25320
01073,01073_0001,992,19.72,25250,3.9180897581103835,25250
01074,01074_0001,2559,32.88,23720,4.35450726597181,23720
01075,01075_0001,1430,17,24890,4.432216379197737,24890
01076,01076_0001,124,4.6,21070,3.2942252621099875,21070
01077,01077_0001,189,7.65,24620,3.2070413672211977,24620
01078,01078_0001,1619,8.67,44460,5.229695162885185,44460
01079,01079_0001,826,18.16,22770,3.817373400347831,22770
01080,01080_0001,645,31.53,23720,3.018310843238803,23720
01080,01080_0002,645,31.53,23720,3.018310843238803,23720
01081,01081_0001,718,32.4,27400,3.0983111462499404,27400
01082,01082_0001,616,18.1,27880,3.5273350252617397,27880
01083,01083_0001,1003,12.63,25580,4.374675851599536,25580
01084,01084_0001,931,13.42,24050,4.2395131457335316,24050
01085,01085_0001,394,13.37,26330,3.383337518184082,26330
01087,01087_0001,279,18.27,27320,2.7259514114314505,27320
01088,01088_0001,898,6.62,28140,4.910074698353283,28140
01089,01089_0001,2287,16.06,25170,4.9586644855041655,25170
01089,01089_0002,2287,16.06,25170,4.9586644855041655,25170
01090,01090_0001,360,14.95,24090,3.1813927316134603,24090
